bowler,phase,legal_balls,overs,total_overs,phase_usage_probability
DAJ Bracewell,middle,66,11.0,33.5,0.3283582089552239
DAJ Bracewell,powerplay,66,11.0,33.5,0.3283582089552239
DE Bollinger,death,231,38.5,112.66666666666666,0.34171597633136097
DE Bollinger,middle,61,10.166666666666666,112.66666666666666,0.09023668639053255
DE Bollinger,powerplay,384,64.0,112.66666666666666,0.5680473372781065
DJ Bravo,death,1624,270.6666666666667,640.8333333333334,0.4223667100130039
DJ Bravo,middle,1907,317.8333333333333,640.8333333333334,0.4959687906371911
DJ Bravo,powerplay,314,52.333333333333336,640.8333333333334,0.08166449934980494
DJ Hooda,death,52,8.666666666666666,70.0,0.1238095238095238
DJ Hooda,middle,286,47.666666666666664,70.0,0.6809523809523809
DJ Hooda,powerplay,82,13.666666666666666,70.0,0.19523809523809524
DJ Hussey,death,67,11.166666666666666,90.66666666666667,0.12316176470588235
DJ Hussey,middle,433,72.16666666666667,90.66666666666667,0.7959558823529412
DJ Hussey,powerplay,44,7.333333333333333,90.66666666666667,0.08088235294117646
DJ Malan,death,5,0.8333333333333334,1.3333333333333335,0.625
DJ Malan,middle,3,0.5,1.3333333333333335,0.37499999999999994
DJ Mitchell,death,44,7.333333333333333,21.333333333333332,0.34375
DJ Mitchell,middle,84,14.0,21.333333333333332,0.65625
DJ Willey,death,176,29.333333333333332,117.66666666666666,0.2492917847025496
DJ Willey,middle,83,13.833333333333334,117.66666666666666,0.11756373937677056
DJ Willey,powerplay,447,74.5,117.66666666666666,0.6331444759206799
DJG Sammy,death,71,11.833333333333334,127.0,0.09317585301837271
DJG Sammy,middle,528,88.0,127.0,0.6929133858267716
DJG Sammy,powerplay,163,27.166666666666668,127.0,0.21391076115485566
DJM Short,death,7,1.1666666666666667,12.833333333333332,0.09090909090909093
DJM Short,middle,64,10.666666666666666,12.833333333333332,0.8311688311688312
DJM Short,powerplay,6,1.0,12.833333333333332,0.07792207792207793
DL Chahar,death,273,45.5,382.0,0.11910994764397906
DL Chahar,middle,303,50.5,382.0,0.13219895287958114
DL Chahar,powerplay,1716,286.0,382.0,0.7486910994764397
DL Vettori,death,219,36.5,213.16666666666669,0.17122752150117276
DL Vettori,middle,935,155.83333333333334,213.16666666666669,0.7310398749022674
DL Vettori,powerplay,125,20.833333333333332,213.16666666666669,0.0977326035965598
DP Nannes,death,203,33.833333333333336,128.33333333333331,0.26363636363636367
DP Nannes,middle,109,18.166666666666668,128.33333333333331,0.14155844155844158
DP Nannes,powerplay,458,76.33333333333333,128.33333333333331,0.5948051948051949
DR Sams,death,118,19.666666666666668,83.66666666666667,0.2350597609561753
DR Sams,middle,150,25.0,83.66666666666667,0.298804780876494
DR Sams,powerplay,234,39.0,83.66666666666667,0.46613545816733065
DR Smith,death,95,15.833333333333334,98.83333333333333,0.16020236087689715
DR Smith,middle,437,72.83333333333333,98.83333333333333,0.7369308600337268
DR Smith,powerplay,61,10.166666666666666,98.83333333333333,0.10286677908937605
DS Kulkarni,death,304,50.666666666666664,276.3333333333333,0.1833534378769602
DS Kulkarni,middle,402,67.0,276.3333333333333,0.24246079613992763
DS Kulkarni,powerplay,952,158.66666666666666,276.3333333333333,0.5741857659831122
DT Christian,death,249,41.5,167.16666666666666,0.2482552342971087
DT Christian,middle,555,92.5,167.16666666666666,0.5533399800598205
DT Christian,powerplay,199,33.166666666666664,167.16666666666666,0.1984047856430708
DW Steyn,death,766,127.66666666666667,433.0,0.29484218629715164
DW Steyn,middle,500,83.33333333333333,433.0,0.1924557351809084
DW Steyn,powerplay,1332,222.0,433.0,0.5127020785219399
E Malinga,death,148,24.666666666666668,82.66666666666667,0.29838709677419356
E Malinga,middle,200,33.333333333333336,82.66666666666667,0.40322580645161293
E Malinga,powerplay,148,24.666666666666668,82.66666666666667,0.29838709677419356
F Behardien,death,5,0.8333333333333334,3.8333333333333335,0.21739130434782608
F Behardien,middle,18,3.0,3.8333333333333335,0.7826086956521738
F du Plessis,death,2,0.3333333333333333,1.6666666666666665,0.2
F du Plessis,middle,8,1.3333333333333333,1.6666666666666665,0.8
FA Allen,death,52,8.666666666666666,91.16666666666666,0.09506398537477148
FA Allen,middle,360,60.0,91.16666666666666,0.6581352833638027
FA Allen,powerplay,135,22.5,91.16666666666666,0.246800731261426
FH Edwards,death,117,19.5,78.33333333333333,0.24893617021276598
FH Edwards,middle,88,14.666666666666666,78.33333333333333,0.18723404255319148
FH Edwards,powerplay,265,44.166666666666664,78.33333333333333,0.5638297872340425
