venue,phase,four_modifier,six_modifier,wicket_modifier
Central Broward Regional Park Stadium Turf Ground,powerplay,0.7778897260759929,0.9093870558241008,1.377664029653716
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",death,0.6459225472662934,1.145354797311635,1.1888784911632018
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",middle,0.9715847116383385,1.1873188539855217,1.1246586197081245
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",powerplay,1.0318351944896278,1.8,0.9905019580140835
"Civil Service Cricket Club, Stormont, Belfast",death,1.1926387453262384,1.1310865947280826,1.1275984804104322
"Civil Service Cricket Club, Stormont, Belfast",middle,0.9600310710921074,0.943062934540207,0.9662935043504358
"Civil Service Cricket Club, Stormont, Belfast",powerplay,1.0977428843354562,0.787401574803149,1.1891419313195333
"Coolidge Cricket Ground, Antigua",death,0.8519852181138906,1.032069197464781,0.9551422422300124
"Coolidge Cricket Ground, Antigua",middle,0.6141013388651348,0.6333444018103099,1.593407778277829
"Coolidge Cricket Ground, Antigua",powerplay,0.9561066984931524,1.8,1.1511305308741038
County Ground,death,1.0857058390652052,0.8122766831898737,1.0405016775842786
County Ground,middle,1.024945058878895,1.4241475939175838,1.0146255589414368
County Ground,powerplay,1.2010103467917208,1.4640539305301632,0.8024160814380498
"County Ground, Bristol",death,0.9982033747467095,1.3240141762120317,1.129388755568866
"County Ground, Bristol",middle,0.94168199443944,1.629685850465073,0.8667771539058658
"County Ground, Bristol",powerplay,0.8438279616321969,1.1485982394775491,1.3153327352251571
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",death,0.7511964974761732,1.0487678577778201,0.995583057984629
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",middle,1.1283756289537827,1.30414620955308,0.7967266333307939
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",powerplay,0.9688280285592532,1.766836238177983,0.9446241962753499
"Darren Sammy National Cricket Stadium, St Lucia",death,0.8516945788430661,0.9243347770772244,1.089759605228874
"Darren Sammy National Cricket Stadium, St Lucia",middle,1.0356015150461952,1.0385728474782288,0.8727382942375871
"Darren Sammy National Cricket Stadium, St Lucia",powerplay,0.8869251651984721,1.1552761362186967,1.3229800185694887
De Beers Diamond Oval,death,0.8508605286494565,0.9767550541387566,0.9210998457303452
De Beers Diamond Oval,middle,0.8374905822435464,0.7860841567135283,0.856463161109009
De Beers Diamond Oval,powerplay,0.7635433664408824,0.8019844312083503,1.1661892895518087
Dr DY Patil Sports Academy,death,0.7794904239562747,1.016783393861419,1.0458696702182384
Dr DY Patil Sports Academy,middle,0.8871678425066463,0.9005505747020706,1.1105431452810461
Dr DY Patil Sports Academy,powerplay,0.9027702988742625,0.6361602113055508,1.009482226238031
"Dr DY Patil Sports Academy, Mumbai",death,0.9818851315918117,1.0116576465145917,1.0261031638500062
"Dr DY Patil Sports Academy, Mumbai",middle,0.8826998379882446,1.0759182584389835,0.832496850921568
"Dr DY Patil Sports Academy, Mumbai",powerplay,0.8736287612450193,0.9051774425387593,0.9915985450558408
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,death,0.888973712834163,0.9574724632089181,1.2177330953587273
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,middle,0.8534878642451115,0.6474675140775406,1.0628777163430625
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,powerplay,0.8495240590866848,0.8373047960570805,0.862497176813263
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",death,1.2002456232555627,0.8231987788369457,1.1398593051766583
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",middle,1.1379627040000149,1.8,1.2262739133217395
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",powerplay,1.082687832821786,1.5961435261540453,0.9445355960505994
Dubai International Cricket Stadium,death,1.0025498261361694,0.8514085012317909,0.9509217143347596
Dubai International Cricket Stadium,middle,0.8642418169166352,0.8250085502520579,0.9449377973511646
Dubai International Cricket Stadium,powerplay,0.919229247521139,0.75047239488117,1.078263494313386
Eden Gardens,death,1.0399114146070703,1.0313535459661807,0.9345153062187999
Eden Gardens,middle,1.0896057583929695,0.9414847311412532,0.9982293708380515
Eden Gardens,powerplay,1.0635766516135707,0.7491993825535816,0.9227457782606725
"Eden Gardens, Kolkata",death,1.1355864270596259,1.4538759294988741,0.848765261017332
"Eden Gardens, Kolkata",middle,1.069170938140002,1.2833288675180614,1.1054481244302776
"Eden Gardens, Kolkata",powerplay,1.1954510197277652,1.6422880165710745,0.8884878063123486
Eden Park,death,0.7774574519235445,1.0433678831439326,0.8038052323298526
Eden Park,middle,0.8387371711139887,1.5503766441203188,1.1292755110700385
Eden Park,powerplay,0.9548778689783808,1.7266590880922144,1.0517668880907458
"Eden Park, Auckland",death,0.9021798552888477,1.0539152842647768,1.1484901741492253
"Eden Park, Auckland",middle,1.0120083481663185,1.4105054578279992,1.0394601103946013
"Eden Park, Auckland",powerplay,0.8610629900087369,1.791925655088361,1.1771772512043057
Edgbaston,death,1.1267885926107812,1.3524999861158165,1.2375971704194242
Edgbaston,middle,1.1100711258276414,1.1089791515124543,1.3530597275665865
Edgbaston,powerplay,1.2072871235023919,0.7211082649547208,0.8839654102044275
"Edgbaston, Birmingham",death,1.0445518886869973,1.0141720437515191,1.1549057218876495
"Edgbaston, Birmingham",middle,0.8905896008145036,1.2785861596591857,1.4927328798453627
"Edgbaston, Birmingham",powerplay,0.9845864724908203,0.8455638103387921,1.0768641524797562
