player,ipl_matches,t20i_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible
Harpreet Brar,51.0,0.0,False,True,True
Harpreet Singh,9.0,0.0,False,False,False
Harsh Dubey,11.0,0.0,False,False,False
Harshit Rana,33.0,8.0,True,False,True
Hasan Ali,0.0,49.0,False,False,False
Hasan Mahmud,0.0,21.0,False,False,False
Hasan Murad,0.0,2.0,False,False,False
Haseebullah Khan,0.0,3.0,False,False,False
Hassan Nawaz,0.0,18.0,False,False,False
Himmat Singh,9.0,0.0,False,False,False
Hussain Talat,0.0,21.0,False,False,False
I Kaia,0.0,4.0,False,False,False
I Malhotra,1.0,0.0,False,False,False
I Sharma,117.0,14.0,True,False,True
I Udana,10.0,34.0,True,False,True
IC Pandey,25.0,0.0,False,False,False
IC Porel,1.0,0.0,False,False,False
IDR Bradshaw,0.0,1.0,False,False,False
IE O'Brien,0.0,3.0,False,False,False
IG Butler,0.0,18.0,False,False,False
IJL Trott,0.0,7.0,False,False,False
IK Pathan,103.0,22.0,True,False,True
IR Bell,0.0,8.0,False,False,False
IR Jaggi,7.0,0.0,False,False,False
IS Sodhi,8.0,133.0,True,False,True
Iftikhar Ahmed,0.0,61.0,False,False,False
Iftikhar Anjum,0.0,2.0,False,False,False
Ihsanullah,0.0,1.0,False,False,False
Imad Wasim,0.0,65.0,False,False,False
Imam-ul-Haq,0.0,2.0,False,False,False
Imran Farhat,0.0,7.0,False,False,False
Imran Khan (1),0.0,3.0,False,False,False
Imran Nazir,0.0,22.0,False,False,False
Imran Tahir,59.0,33.0,True,False,True
Imrul Kayes,0.0,14.0,False,False,False
Inzamam-ul-Haq,0.0,1.0,False,False,False
Iqbal Abdulla,49.0,0.0,False,False,False
Irfan Khan,0.0,14.0,False,False,False
Ishan Kishan,134.0,42.0,True,False,True
J Andrew,0.0,3.0,False,False,False
J Arunkumar,3.0,0.0,False,False,False
J Blades,0.0,4.0,False,False,False
J Botha,34.0,39.0,True,False,True
J Campbell,0.0,9.0,False,False,False
J Charles,0.0,61.0,False,False,False
J Edwards,0.0,1.0,False,False,False
J Fraser-McGurk,15.0,5.0,True,False,True
J Gumbie,0.0,3.0,False,False,False
J Hermann,0.0,1.0,False,False,False
J Lewis,0.0,2.0,False,False,False
J Little,11.0,34.0,True,False,True
J Liyanage,0.0,14.0,False,False,False
J Louw,0.0,2.0,False,False,False
J Mubarak,0.0,14.0,False,False,False
J Nyumbu,0.0,2.0,False,False,False
J Overton,13.0,22.0,True,False,True
J Suchith,22.0,0.0,False,False,False
J Syed Mohammad,11.0,0.0,False,False,False
J Theron,10.0,9.0,True,False,True
J Yadav,20.0,0.0,False,False,False
JA Clarkson,0.0,13.0,False,False,False
JA Duffy,6.0,44.0,True,False,True
JA Morkel,90.0,46.0,True,False,True
JA Richardson,4.0,18.0,True,False,True
JA Rudolph,0.0,1.0,False,False,False
JA Turner,0.0,2.0,False,False,False
JAH Marshall,0.0,3.0,False,False,False
JC Archer,68.0,38.0,True,False,True
JC Buttler,138.0,144.0,True,False,True
JC Tredwell,0.0,16.0,False,False,False
JD Campbell,0.0,2.0,False,False,False
JD Ryder,29.0,21.0,True,False,True
JD Unadkat,116.0,10.0,True,False,True
JD Wildermuth,0.0,2.0,False,False,False
JDF Vandersay,0.0,17.0,False,False,False
JDP Oram,18.0,34.0,True,False,True
JDS Neesham,14.0,90.0,True,False,True
JE Root,3.0,31.0,True,False,True
JE Taylor,5.0,27.0,True,False,True
JEC Franklin,20.0,37.0,True,False,True
JF Mooney,0.0,8.0,False,False,False
JF Smith,0.0,9.0,False,False,False
JG Bethell,9.0,28.0,True,False,True
JH Kallis,98.0,23.0,True,False,True
JJ Bumrah,158.0,85.0,True,False,True
JJ Roy,21.0,63.0,True,False,True
JJ van der Wath,3.0,7.0,True,False,True
JK Masara,0.0,1.0,False,False,False
JL Denly,1.0,13.0,True,False,True
JL Ontong,0.0,14.0,False,False,False
JL Pattinson,10.0,4.0,True,False,True
JL Smith,0.0,5.0,False,False,False
JM Anderson,0.0,18.0,False,False,False
JM Bairstow,52.0,75.0,True,False,True
JM Cox,0.0,6.0,False,False,False
JM How,0.0,5.0,False,False,False
JM Kemp,5.0,7.0,True,False,True
JM Muirhead,0.0,5.0,False,False,False
JM Sharma,71.0,12.0,True,False,True
JM Vince,0.0,16.0,False,False,False
JN Gillespie,0.0,1.0,False,False,False
JN Malan,0.0,11.0,False,False,False
JN Mohammed,0.0,6.0,False,False,False
JN Snape,0.0,1.0,False,False,False
JNK Shannon,0.0,2.0,False,False,False
JNT Seales,0.0,8.0,False,False,False
JO Holder,57.0,88.0,True,False,True
JP Behrendorff,17.0,17.0,True,False,True
JP Bray,0.0,2.0,False,False,False
JP Duminy,83.0,77.0,True,False,True
JP Faulkner,60.0,24.0,True,False,True
JP Greaves,0.0,1.0,False,False,False
JP Inglis,17.0,42.0,True,False,True
JPR Scantlebury-Searles,4.0,0.0,False,False,False
JR Hazlewood,52.0,56.0,True,False,True
JR Hopes,21.0,12.0,True,False,True
JR Lennox,0.0,1.0,False,False,False
