player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
JE Root,585.0,81.0,31.0,3.0,True,False,True,True,All-rounder
CJ Anderson,583.0,499.0,30.0,30.0,True,False,True,True,All-rounder
R Shepherd,581.0,1116.0,78.0,33.0,True,False,True,True,All-rounder
OA Shah,577.0,0.0,16.0,23.0,True,False,True,False,Batter
Abdul Samad,568.0,56.0,5.0,71.0,True,False,True,False,Batter
PP Chawla,541.0,3635.0,7.0,192.0,True,False,True,True,All-rounder
MJ Lumb,525.0,0.0,26.0,12.0,True,False,True,False,Batter
WG Jacks,524.0,283.0,35.0,28.0,True,False,True,True,All-rounder
PJ Cummins,520.0,2488.0,54.0,80.0,True,False,True,True,All-rounder
R Ravindra,513.0,153.0,43.0,18.0,True,False,True,True,All-rounder
AM Nayar,503.0,198.0,0.0,60.0,False,True,True,True,All-rounder
JP Faulkner,500.0,1515.0,24.0,60.0,True,False,True,True,All-rounder
Shashank Singh,488.0,87.0,0.0,54.0,False,True,True,True,All-rounder
SN Khan,488.0,2.0,0.0,58.0,False,True,True,False,Batter
JEC Franklin,477.0,341.0,37.0,20.0,True,False,True,True,All-rounder
FH Allen,471.0,0.0,51.0,11.0,True,False,True,False,Batter
CH Morris,470.0,2020.0,22.0,81.0,True,False,True,True,All-rounder
CK Kapugedera,469.0,17.0,40.0,5.0,True,False,True,False,Batter
Shahbaz Ahmed,466.0,584.0,1.0,63.0,True,False,True,True,All-rounder
MV Boucher,466.0,0.0,23.0,31.0,True,False,True,False,Batter
Misbah-ul-Haq,462.0,0.0,34.0,8.0,True,False,True,False,Batter
PD Collingwood,459.0,221.0,34.0,8.0,True,False,True,True,All-rounder
DJG Sammy,458.0,762.0,65.0,22.0,True,False,True,True,All-rounder
M Shahrukh Khan,457.0,14.0,0.0,64.0,False,True,True,False,Batter
Nithish Kumar Reddy,453.0,304.0,4.0,42.0,True,False,True,True,All-rounder
C de Grandhomme,446.0,377.0,41.0,25.0,True,False,True,True,All-rounder
Salman Butt,445.0,0.0,19.0,7.0,True,False,True,False,Batter
SB Styris,443.0,385.0,29.0,12.0,True,False,True,True,All-rounder
PWH de Silva,440.0,1881.0,83.0,37.0,True,False,True,True,All-rounder
JDS Neesham,437.0,646.0,90.0,14.0,True,False,True,True,All-rounder
J Botha,432.0,1191.0,39.0,34.0,True,False,True,True,All-rounder
B Kumar,427.0,5339.0,83.0,206.0,True,False,True,True,All-rounder
PBB Rajapaksa,426.0,0.0,36.0,13.0,True,False,True,False,Batter
DJM Short,423.0,77.0,22.0,7.0,True,False,True,True,All-rounder
M Manhas,412.0,42.0,0.0,55.0,False,True,True,False,Batter
DT Christian,407.0,1003.0,23.0,49.0,True,False,True,True,All-rounder
A Mishra,399.0,3278.0,10.0,162.0,True,False,True,True,All-rounder
MJ Clarke,398.0,163.0,34.0,6.0,True,False,True,True,All-rounder
Rashid Khan,388.0,3342.0,0.0,153.0,False,True,True,True,All-rounder
JG Bethell,384.0,72.0,28.0,9.0,True,False,True,True,All-rounder
LJ Wright,369.0,311.0,49.0,7.0,True,False,True,True,All-rounder
K Rabada,368.0,3375.0,70.0,101.0,True,False,True,True,All-rounder
JDP Oram,353.0,534.0,34.0,18.0,True,False,True,True,All-rounder
CJ Jordan,349.0,2115.0,90.0,34.0,True,False,True,True,All-rounder
JR Hopes,325.0,473.0,12.0,21.0,True,False,True,True,All-rounder
F Behardien,320.0,23.0,38.0,3.0,True,False,True,False,Batter
DM Bravo,318.0,0.0,26.0,1.0,True,False,True,False,Batter
PHKD Mendis,304.0,137.0,41.0,5.0,True,False,True,True,All-rounder
M Jansen,303.0,1382.0,24.0,49.0,True,False,True,True,All-rounder
