bowler,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
A Flintoff,middle,Nb,0.0,53.0,0.0,0.002679114308877179,0.001152307229624593
A Flintoff,powerplay,0,35.0,73.0,0.4794520547945205,0.4228881521678736,0.4594294343957075
A Flintoff,powerplay,1,17.0,73.0,0.2328767123287671,0.25764450947345025,0.2416440741498939
A Flintoff,powerplay,2,8.0,73.0,0.1095890410958904,0.04384827662845184,0.08631797402777057
A Flintoff,powerplay,3,0.0,73.0,0.0,0.005028429611245902,0.001779975083626868
A Flintoff,powerplay,4,7.0,73.0,0.0958904109589041,0.15223269683107069,0.11583458294905156
A Flintoff,powerplay,6,2.0,73.0,0.0273972602739726,0.040523771600022226,0.03204381295576008
A Flintoff,powerplay,W,1.0,73.0,0.0136986301369863,0.03919952586446391,0.022725495881226163
A Flintoff,powerplay,Wd,3.0,73.0,0.0410958904109589,0.03486563072990943,0.038890488753950236
A Flintoff,powerplay,Nb,0.0,73.0,0.0,0.003769007093512122,0.0013341618030131407
A Mishra,death,0,127.0,520.0,0.24423076923076922,0.21696977459016392,0.24228355532786883
A Mishra,death,1,184.0,520.0,0.35384615384615387,0.37083760245901637,0.3550598287470726
A Mishra,death,2,55.0,520.0,0.10576923076923077,0.08837090163934426,0.10452649297423888
A Mishra,death,3,0.0,520.0,0.0,0.002651127049180328,0.00018936621779859484
A Mishra,death,4,40.0,520.0,0.07692307692307693,0.11151383196721311,0.07939384514051522
A Mishra,death,6,53.0,520.0,0.10192307692307692,0.07952100409836066,0.10032292886416862
A Mishra,death,W,39.0,520.0,0.075,0.08016137295081967,0.07536866949648713
A Mishra,death,Wd,17.0,520.0,0.032692307692307694,0.04340420081967213,0.03345744291569087
A Mishra,death,Nb,5.0,520.0,0.009615384615384616,0.006570184426229508,0.009397870316159249
A Mishra,middle,0,819.0,2700.0,0.30333333333333334,0.2808889845966761,0.30300567860725075
A Mishra,middle,1,1215.0,2700.0,0.45,0.4414331678151601,0.4498749367564257
A Mishra,middle,2,191.0,2700.0,0.07074074074074074,0.06664217673287394,0.07068090768953102
A Mishra,middle,3,5.0,2700.0,0.001851851851851852,0.002286430887717876,0.0018581960713535456
A Mishra,middle,4,181.0,2700.0,0.06703703703703703,0.08739739562221321,0.06733426854922939
A Mishra,middle,6,120.0,2700.0,0.044444444444444446,0.048281059991892986,0.044500453430538586
A Mishra,middle,W,121.0,2700.0,0.044814814814814814,0.04221980137819214,0.044776931406980906
A Mishra,middle,Wd,32.0,2700.0,0.011851851851851851,0.028171868666396434,0.012090100272502138
A Mishra,middle,Nb,16.0,2700.0,0.005925925925925926,0.002679114308877179,0.005878527216187988
A Mishra,powerplay,0,55.0,132.0,0.4166666666666667,0.4228881521678736,0.41811352375997063
A Mishra,powerplay,1,41.0,132.0,0.3106060606060606,0.25764450947345025,0.29828942080777915
A Mishra,powerplay,2,3.0,132.0,0.022727272727272728,0.04384827662845184,0.027639134099639962
A Mishra,powerplay,3,0.0,132.0,0.0,0.005028429611245902,0.0011694022351734655
A Mishra,powerplay,4,17.0,132.0,0.12878787878787878,0.15223269683107069,0.13424016205373737
A Mishra,powerplay,6,7.0,132.0,0.05303030303030303,0.040523771600022226,0.050121807348842376
A Mishra,powerplay,W,5.0,132.0,0.03787878787878788,0.03919952586446391,0.03818593624754975
A Mishra,powerplay,Wd,3.0,132.0,0.022727272727272728,0.03486563072990943,0.025550146681374286
A Mishra,powerplay,Nb,1.0,132.0,0.007575757575757576,0.003769007093512122,0.006690466765933051
A Nehra,death,0,108.0,603.0,0.1791044776119403,0.21696977459016392,0.18146001708181425
A Nehra,death,1,243.0,603.0,0.40298507462686567,0.37083760245901637,0.40098523187925456
A Nehra,death,2,55.0,603.0,0.0912106135986733,0.08837090163934426,0.0910339596665222
A Nehra,death,3,2.0,603.0,0.003316749585406302,0.002651127049180328,0.003275342273665961
A Nehra,death,4,67.0,603.0,0.1111111111111111,0.11151383196721311,0.11113616373046427
A Nehra,death,6,41.0,603.0,0.06799336650082918,0.07952100409836066,0.06871048237003799
A Nehra,death,W,66.0,603.0,0.10945273631840796,0.08016137295081967,0.10763056752415676
A Nehra,death,Wd,15.0,603.0,0.024875621890547265,0.04340420081967213,0.026028255105422837
A Nehra,death,Nb,6.0,603.0,0.009950248756218905,0.006570184426229508,0.009739980368661244
A Nehra,middle,0,88.0,288.0,0.3055555555555556,0.2808889845966761,0.3025474371459361
A Nehra,middle,1,123.0,288.0,0.4270833333333333,0.4414331678151601,0.42883331314819023
A Nehra,middle,2,17.0,288.0,0.059027777777777776,0.06664217673287394,0.059956363016204134
A Nehra,middle,3,0.0,288.0,0.0,0.002286430887717876,0.00027883303508754586
A Nehra,middle,4,28.0,288.0,0.09722222222222222,0.08739739562221321,0.09602407263685526
A Nehra,middle,6,9.0,288.0,0.03125,0.048281059991892986,0.0333269585355967
A Nehra,middle,W,13.0,288.0,0.04513888888888889,0.04221980137819214,0.0447829026070966
A Nehra,middle,Wd,10.0,288.0,0.034722222222222224,0.028171868666396434,0.03392339861785323
A Nehra,middle,Nb,0.0,288.0,0.0,0.002679114308877179,0.00032672125718014375
A Nehra,powerplay,0,545.0,1243.0,0.43845534995977475,0.4228881521678736,0.4379700125383593
A Nehra,powerplay,1,313.0,1243.0,0.251810136765889,0.25764450947345025,0.2519920345899751
A Nehra,powerplay,2,41.0,1243.0,0.03298471440064361,0.04384827662845184,0.03332340690969453
