venue,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,4,8.0,62.0,0.12903225806451613,0.15223269683107069,0.14335351656238932
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,6,2.0,62.0,0.03225806451612903,0.040523771600022226,0.0373603528395199
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,W,2.0,62.0,0.03225806451612903,0.03919952586446391,0.03654291720028636
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,Wd,2.0,62.0,0.03225806451612903,0.03486563072990943,0.033867673290067554
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,Nb,2.0,62.0,0.03225806451612903,0.003769007093512122,0.01467222660093341
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,0,237.0,1080.0,0.21944444444444444,0.21696977459016392,0.2192347266601834
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,1,391.0,1080.0,0.36203703703703705,0.37083760245901637,0.36278284766601837
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,2,92.0,1080.0,0.08518518518518518,0.08837090163934426,0.08545516115587663
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,3,5.0,1080.0,0.004629629629629629,0.002651127049180328,0.004461959919422062
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,4,120.0,1080.0,0.1111111111111111,0.11151383196721311,0.11114523999722144
